,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
symbol,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,20.1,18.5,52.07,31.86,61.2104,,41.7,26.03,6.3,,10.45,3.75,65.55,29.0,33.33,18.45,30.16,22.07,,51.0,4.6,,44.05,20.05,32.78,33.97,13.33,,,35.15,1333.32,16.2,72.52,5.02,37.76,,44.32,18.56,39.66,32.5,49.21,2128800.0,868500.0,17700.0,6000.0,807600.0,,10600.0,2570800.0,154100.0,,7100.0,263400.0,2284200.0,96400.0,256830.0,113100.0,571800.0,531600.0,,27700.0,23500.0,,87200.0,26600.0,885100.0,573400.0,513500.0,,,288600.0,2100.0,0.0,179300.0,577000.0,1610600.0,,283400.0,700600.0,729100.0,513900.0,579200.0
2005-06-02,20.43,18.31,52.12,32.0,61.1,,43.54,25.93,6.22,,10.75,3.7,64.99,29.0,33.38,18.83,30.38,21.97,,51.07,4.45,,43.76,20.12,32.74,33.84,13.3,,,35.25,1345.0,16.0,72.26,5.34,37.74,,44.9,18.64,39.95,32.38,48.9,3503200.0,923200.0,16100.0,12500.0,860800.0,,57700.0,2026300.0,80600.0,,16100.0,291100.0,1514500.0,101900.0,169600.0,222800.0,489500.0,495400.0,,19400.0,25800.0,,92200.0,29300.0,695000.0,362100.0,1124900.0,,,191100.0,1700.0,500.0,91200.0,758800.0,889700.0,,265100.0,1223700.0,512800.0,350200.0,475700.0
2005-06-03,20.22,18.13,51.94,32.762,61.95,,44.4,25.82,6.0,,10.49,3.66,64.57,28.5,33.25,18.98,30.15,21.85,,49.95,4.8,,43.52,20.6,32.37,33.43,13.6,,,35.05,1345.0,16.0,72.0,5.15,37.43,,45.6,18.5,39.69,31.55,48.54,1908700.0,595200.0,7300.0,11200.0,732300.0,,6100.0,2295900.0,167800.0,,19500.0,603700.0,1209000.0,177000.0,219220.0,251400.0,469000.0,243800.0,,48400.0,72700.0,,92100.0,41700.0,658600.0,542000.0,704400.0,,,189500.0,3000.0,0.0,97100.0,552700.0,877000.0,,363400.0,642700.0,437900.0,460900.0,317900.0
2005-06-06,20.15,18.4,51.71,32.8,61.98,,44.65,25.89,5.61,,10.45,3.7,65.27,28.39,33.25,19.46,30.3,21.7,,50.25,4.9,,43.375,20.23,32.25,33.6,13.53,,,35.13,1361.5,16.01,72.0,5.12,37.36,,46.01,18.44,39.31,31.87,48.8,3642800.0,1094300.0,18100.0,29300.0,505300.0,,20200.0,1289100.0,291900.0,,5500.0,384100.0,1206600.0,104800.0,161363.0,228600.0,783000.0,329600.0,,16300.0,57400.0,,80300.0,27900.0,828500.0,287100.0,436200.0,,,230600.0,5500.0,11000.0,57000.0,302300.0,842200.0,,269900.0,1072200.0,620400.0,277100.0,215100.0
2005-06-07,20.69,18.53,51.81,32.94,63.05,,43.13,24.48,5.78,,10.5,3.67,65.16,28.05,33.64,19.41,30.6,21.75,,50.12,4.72,,43.08,20.6,32.08,33.5,13.69,,,35.05,1364.0,16.15,71.67,4.85,37.54,,47.06,18.45,39.8,30.53,48.75,2432300.0,871700.0,32500.0,29100.0,991400.0,,900.0,7553600.0,396300.0,,39500.0,83800.0,1791800.0,170700.0,267575.0,344200.0,688600.0,433900.0,,18500.0,20500.0,,119600.0,71900.0,1068000.0,457700.0,616600.0,,,469300.0,2100.0,11500.0,131200.0,544900.0,1103500.0,,518500.0,938000.0,492800.0,646000.0,327800.0
2005-06-08,21.0,18.29,51.25,32.99,61.24,,42.0,24.22,5.72,,10.45,3.65,65.67,26.88,33.17,19.28,30.58,21.81,,50.1,4.92,,43.43,20.47,31.83,32.86,13.79,,,34.93,1354.31,16.15,71.14,4.92,37.28,,46.73,18.33,39.78,30.67,48.16,3700800.0,823100.0,17600.0,15700.0,590400.0,,2100.0,5615500.0,202100.0,,5900.0,114400.0,1369600.0,343200.0,237175.0,118800.0,546700.0,860900.0,,22600.0,71000.0,,86100.0,35300.0,1831000.0,820000.0,650400.0,,,301200.0,1200.0,0.0,120800.0,216300.0,871200.0,,252200.0,889300.0,408400.0,509200.0,244700.0
2005-06-09,21.04,18.44,51.55,33.5,61.87,,41.2,24.01,5.65,,10.5,3.7,66.62,26.38,33.57,19.48,30.64,22.23,,50.28,4.86,,43.58,20.74,31.86,32.73,13.76,,,35.57,1385.0,16.0,71.31,4.91,37.21,,47.38,18.48,39.75,30.3,48.85,2775400.0,559700.0,7000.0,23600.0,395700.0,,6500.0,2436200.0,251800.0,,300.0,120600.0,2002900.0,259700.0,218153.0,97400.0,501700.0,1107300.0,,40700.0,21200.0,,52500.0,42900.0,1277600.0,566200.0,458100.0,,,290500.0,2500.0,500.0,135400.0,113900.0,1338100.0,,253900.0,857100.0,532000.0,359100.0,150900.0
2005-06-10,20.43,19.09,50.93,33.27,61.5,,42.37,23.71,5.7,,10.5,3.69,66.81,26.17,33.74,19.62,30.63,23.19,,49.96,4.93,,43.48,21.05,31.8,33.0,13.83,,,35.42,1401.01,16.0,71.69,4.97,37.0,,47.23,18.37,39.24,30.42,48.73,2327400.0,844000.0,9400.0,15000.0,476200.0,,22200.0,2738400.0,237900.0,,7100.0,15800.0,1976700.0,291000.0,192435.0,136100.0,354600.0,1194000.0,,8500.0,31300.0,,40700.0,21200.0,1267800.0,1610100.0,263300.0,,,190600.0,2700.0,0.0,153900.0,179700.0,1016400.0,,202700.0,1028300.0,368200.0,539500.0,88600.0
